DataName,SchoolName1,SchoolName2,NumSHSATTestTakers,NumSpecializedOffers,OffersPerStudent,PctBlackOrHispanic,Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged
P.S. 099 ISAAC ASIMOV,Public School 99,The Isaac Asimov School,17,0,0,25%,,,,P.S. 099 ISAAC ASIMOV,332100010099.0,21.0,40.621491999999996,-73.96600600000001,"1120 E 10TH ST BROOKLYN, NY 11230",BROOKLYN,11230.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.695,"$37,038.11 ",31%,41%,8%,18%,26%,32%,92%,28%,99%,Exceeding Target,100%,Exceeding Target,96%,Meeting Target,96%,Exceeding Target,80%,Approaching Target,97%,Exceeding Target,Meeting Target,2.62,2.86,91.0,11.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,5.0,94.0,26.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,15.0,92.0,18.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,6.0,96.0,39.0,0.0,0.0,3.0,17.0,17.0,0.0,1.0,15.0,85.0,11.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,3.0,88.0,23.0,0.0,0.0,2.0,9.0,12.0,0.0,0.0,5.0,82.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,86.0,11.0,0.0,0.0,1.0,7.0,3.0,0.0,1.0,7.0,80.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,84.0,11.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,7.0,69.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,51.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
COLLABORATIVE ARTS MIDDLE SCHOOL,,Collaborative Arts Middle School,17,0,0,96%,,,,COLLABORATIVE ARTS MIDDLE SCHOOL,342900010355.0,29.0,40.664858,-73.759088,"145-00 SPRINGFIELD BLVD SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413.0,"06,07,08",06,08,No,0.557,,2%,1%,91%,6%,97%,1%,92%,26%,84%,Meeting Target,91%,Meeting Target,78%,Approaching Target,90%,Meeting Target,80%,Meeting Target,89%,Meeting Target,Approaching Target,2.21,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,102.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,134.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,147.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,147.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0
COMMUNITY PARTNERSHIP CHARTER SCHOOL,,Community Partnership Charter School,17,0,0,95%,,,,COMMUNITY PARTNERSHIP CHARTER SCHOOL,331300860810.0,13.0,40.689626000000004,-73.96109399999999,"241 EMERSON PL BROOKLYN, NY 11205",BROOKLYN,11205.0,"0K,01,02,03,04,05",0K,05,No,0.635,"$42,161.63 ",2%,0%,80%,15%,95%,1%,95%,16%,83%,Approaching Target,84%,Meeting Target,79%,Approaching Target,80%,Meeting Target,90%,Exceeding Target,87%,Meeting Target,Approaching Target,2.43,2.65,44.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,58.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,46.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ICAHN CHARTER SCHOOL 3,,Icahn Charter School 3,17,0,0,93%,,,,ICAHN CHARTER SCHOOL 3,321100860917.0,11.0,40.856635,-73.84304200000001,"1500 PELHAM PKWY S BRONX, NY 10461",BRONX,10461.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.648,"$36,726.40 ",3%,3%,62%,31%,93%,3%,95%,12%,93%,Meeting Target,93%,Exceeding Target,79%,Approaching Target,86%,Meeting Target,80%,Approaching Target,87%,Approaching Target,Approaching Target,2.55,2.83,39.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,21.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,39.0,10.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,8.0,39.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,37.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
HAMILTON GRANGE MIDDLE SCHOOL,,Hamilton Grange Middle School,18,0,0,96%,,,,HAMILTON GRANGE MIDDLE SCHOOL,310600010209.0,6.0,40.820988,-73.952995,"500 W 138TH ST NEW YORK, NY 10031",NEW YORK,10031.0,"06,07,08",06,08,No,0.7859999999999999,,34%,1%,11%,85%,96%,3%,96%,10%,73%,,78%,,79%,,70%,,79%,,85%,,,2.09,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,83.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,8.0,65.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,68.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223,,The Laboratory School of Finance and Technology: X223,18,0,0,98%,,,,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,320700010223.0,7.0,40.813507,-73.920477,"360 E 145TH ST BRONX, NY 10454",BRONX,10454.0,"06,07,08,09,10,11,12",06,12,No,0.866,,9%,0%,20%,79%,99%,1%,95%,12%,84%,Meeting Target,76%,Meeting Target,85%,Exceeding Target,71%,Approaching Target,75%,Approaching Target,82%,Approaching Target,Meeting Target,2.62,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,18.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,17.0,86.0,13.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,12.0,94.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,93.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,92.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,92.0,15.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
THE HIGHBRIDGE GREEN SCHOOL,,The Highbridge Green School,18,0,0,97%,,,,THE HIGHBRIDGE GREEN SCHOOL,320900010361.0,9.0,40.838201,-73.928084,"200 W 167TH ST BRONX, NY 10452",BRONX,10452.0,"06,07,08",06,08,No,0.8859999999999999,,20%,1%,25%,73%,98%,1%,94%,20%,94%,Exceeding Target,93%,Meeting Target,94%,Exceeding Target,94%,Exceeding Target,85%,Meeting Target,95%,Exceeding Target,Meeting Target,2.27,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,117.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,116.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,116.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
WEST BRONX ACADEMY FOR THE FUTURE,,West Bronx Academy for the Future,18,0,0,96%,,,,WEST BRONX ACADEMY FOR THE FUTURE,321000011243.0,10.0,40.859516,-73.88858,"500 E FORDHAM RD BRONX, NY 10458",BRONX,10458.0,"06,07,08,09,10,11,12",06,12,No,0.851,,11%,2%,20%,75%,95%,2%,92%,25%,84%,Approaching Target,85%,Meeting Target,81%,Meeting Target,82%,Meeting Target,74%,Approaching Target,89%,Meeting Target,Meeting Target,2.35,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",Intermediate School X318,"The Math, Science and Technology Through Arts School",18,0,0,97%,,,,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",321200010318.0,12.0,40.84385,-73.890063,"1919 PROSPECT AVE BRONX, NY 10457",BRONX,10457.0,"06,07,08",06,08,No,0.878,,19%,1%,27%,70%,97%,2%,88%,38%,85%,Meeting Target,79%,Meeting Target,83%,Approaching Target,73%,Approaching Target,79%,Meeting Target,90%,Meeting Target,Meeting Target,2.15,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.S. 084 JOSE DE DIEGO,Public School 84,The José De Diego School,18,0,0,66%,,,,P.S. 084 JOSE DE DIEGO,331400010084.0,14.0,40.714822,-73.963516,"250 BERRY ST BROOKLYN, NY 11211",BROOKLYN,11211.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.5770000000000001,"$57,582.52 ",17%,3%,3%,62%,65%,27%,93%,23%,93%,Meeting Target,93%,Exceeding Target,92%,Meeting Target,84%,Meeting Target,89%,Meeting Target,94%,Exceeding Target,Approaching Target,2.43,2.45,76.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,76.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,43.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I.S. 136 CHARLES O. DEWEY,Intermediate School 136,The Charles O. Dewey School,18,0,0,84%,,,,I.S. 136 CHARLES O. DEWEY,331500010136.0,15.0,40.652095,-74.007424,"4004 4TH AVE BROOKLYN, NY 11232",BROOKLYN,11232.0,"06,07,08",06,08,No,0.809,,36%,6%,3%,84%,87%,7%,94%,19%,91%,Approaching Target,94%,Meeting Target,89%,Meeting Target,87%,Meeting Target,83%,Meeting Target,94%,Exceeding Target,Meeting Target,2.19,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,149.0,6.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,6.0,141.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,151.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,170.0,10.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,9.0,180.0,7.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,7.0
THE SCHOOL OF INTEGRATED LEARNING,,The School of Integrated Learning,18,0,0,96%,,,,THE SCHOOL OF INTEGRATED LEARNING,331700010354.0,17.0,40.672272,-73.937164,"1224 PARK PL BROOKLYN, NY 11213",BROOKLYN,11213.0,"06,07,08",06,08,No,0.792,,11%,3%,78%,13%,91%,3%,92%,27%,99%,Exceeding Target,97%,Exceeding Target,96%,Exceeding Target,95%,Exceeding Target,88%,Exceeding Target,98%,Exceeding Target,Exceeding Target,2.69,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,62.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,66.0,8.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,7.0,71.0,9.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,7.0,76.0,13.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,11.0
EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,,East Flatbush Community Research School,18,0,0,95%,,,,EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,331800010581.0,18.0,40.658685,-73.928682,"905 WINTHROP ST BROOKLYN, NY 11203",BROOKLYN,11203.0,"06,07,08",06,08,Yes,0.7,,11%,2%,89%,2%,91%,2%,92%,23%,83%,Meeting Target,76%,Approaching Target,80%,Meeting Target,75%,Approaching Target,80%,Meeting Target,81%,Approaching Target,Meeting Target,2.17,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I.S. 192 THE LINDEN,Intermediate School 192,The Linden School,18,0,0,88%,,,,I.S. 192 THE LINDEN,342900010192.0,29.0,40.706768,-73.753793,"109-89 204TH ST SAINT ALBANS, NY 11412",SAINT ALBANS,11412.0,"06,07,08",06,08,No,0.48700000000000004,,5%,3%,86%,8%,95%,1%,94%,14%,92%,Approaching Target,95%,Meeting Target,92%,Exceeding Target,90%,Exceeding Target,98%,Exceeding Target,96%,Exceeding Target,Meeting Target,2.32,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,124.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,204.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,208.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,166.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,,The Eagle Academy for Young Men of Staten Island,18,0,0,83%,,,,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,353100010028.0,31.0,40.620483,-74.080771,"101 WARREN ST STATEN ISLAND, NY 10304",STATEN ISLAND,10304.0,"06,07,08,09,10,11,12",06,12,No,0.705,,3%,9%,52%,31%,83%,7%,93%,23%,93%,,87%,,91%,,90%,,87%,,91%,,,2.38,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,56.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
